AFP_1/encode	AFP
AHR_1/encode	AHR
AIRE_1/encode	AIRE
AIRE_2/encode	AIRE
ALX1_1/encode	ALX1
ALX1_1/encode	ALX3
ALX1_1/encode	ALX4
ALX1_1/encode	ARX
ALX1_1/encode	DMBX1
ALX1_1/encode	ESX1
ALX1_1/encode	ISX
ALX1_1/encode	PHOX2A
ALX1_1/encode	PHOX2B
ALX1_1/encode	PITX1
ALX1_1/encode	PITX2
ALX1_1/encode	PITX3
ALX1_1/encode	PRRX1
ALX1_1/encode	PRRX2
ALX1_1/encode	RAX
ALX1_1/encode	SHOX2
ALX1_1/encode	UNCX
ALX1_1/encode	VSX1
ALX1_1/encode	VSX2
ALX4_1/encode	ALX1
ALX4_1/encode	ALX3
ALX4_1/encode	ALX4
ALX4_1/encode	ARX
ALX4_1/encode	DMBX1
ALX4_1/encode	ESX1
ALX4_1/encode	ISX
ALX4_1/encode	PHOX2A
ALX4_1/encode	PHOX2B
ALX4_1/encode	PITX1
ALX4_1/encode	PITX2
ALX4_1/encode	PITX3
ALX4_1/encode	PRRX1
ALX4_1/encode	PRRX2
ALX4_1/encode	RAX
ALX4_1/encode	SHOX2
ALX4_1/encode	UNCX
ALX4_1/encode	VSX1
ALX4_1/encode	VSX2
ALX4_EOMES_1/taiple	ALX1
ALX4_EOMES_1/taiple	ALX3
ALX4_EOMES_1/taiple	ALX4
ALX4_EOMES_1/taiple	ARX
ALX4_EOMES_1/taiple	DMBX1
ALX4_EOMES_1/taiple	EOMES
ALX4_EOMES_1/taiple	ESX1
ALX4_EOMES_1/taiple	ISX
ALX4_EOMES_1/taiple	PHOX2A
ALX4_EOMES_1/taiple	PHOX2B
ALX4_EOMES_1/taiple	PITX1
ALX4_EOMES_1/taiple	PITX2
ALX4_EOMES_1/taiple	PITX3
ALX4_EOMES_1/taiple	PRRX1
ALX4_EOMES_1/taiple	PRRX2
ALX4_EOMES_1/taiple	RAX
ALX4_EOMES_1/taiple	SHOX2
ALX4_EOMES_1/taiple	TBR1
ALX4_EOMES_1/taiple	TBX21
ALX4_EOMES_1/taiple	UNCX
ALX4_EOMES_1/taiple	VSX1
ALX4_EOMES_1/taiple	VSX2
ALX4_TBX21_1/taiple	ALX1
ALX4_TBX21_1/taiple	ALX3
ALX4_TBX21_1/taiple	ALX4
ALX4_TBX21_1/taiple	ARX
ALX4_TBX21_1/taiple	DMBX1
ALX4_TBX21_1/taiple	EOMES
ALX4_TBX21_1/taiple	ESX1
ALX4_TBX21_1/taiple	ISX
ALX4_TBX21_1/taiple	PHOX2A
ALX4_TBX21_1/taiple	PHOX2B
ALX4_TBX21_1/taiple	PITX1
ALX4_TBX21_1/taiple	PITX2
ALX4_TBX21_1/taiple	PITX3
ALX4_TBX21_1/taiple	PRRX1
ALX4_TBX21_1/taiple	PRRX2
ALX4_TBX21_1/taiple	RAX
ALX4_TBX21_1/taiple	SHOX2
ALX4_TBX21_1/taiple	TBR1
ALX4_TBX21_1/taiple	TBX21
ALX4_TBX21_1/taiple	UNCX
ALX4_TBX21_1/taiple	VSX1
ALX4_TBX21_1/taiple	VSX2
AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer	TFAP2A
AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer	TFAP2B
AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer	TFAP2C
AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer	TFAP2E
AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)/Homer	AR
AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)/Homer	NR3C1
AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)/Homer	NR3C2
AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)/Homer	PGR
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	AR
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	NR3C1
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	NR3C2
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	PGR
ARID5B_1/encode	ARID5B
ARNTL_BHLHA15_1/taiple	ARNTL
ARNTL_BHLHA15_1/taiple	ARNTL2
ARNTL_BHLHA15_1/taiple	ATOH1
ARNTL_BHLHA15_1/taiple	BHLHA15
ARNTL_PITX1_1/taiple	ALX1
ARNTL_PITX1_1/taiple	ALX3
ARNTL_PITX1_1/taiple	ALX4
ARNTL_PITX1_1/taiple	ARNTL
ARNTL_PITX1_1/taiple	ARNTL2
ARNTL_PITX1_1/taiple	ARX
ARNTL_PITX1_1/taiple	DMBX1
ARNTL_PITX1_1/taiple	ESX1
ARNTL_PITX1_1/taiple	ISX
ARNTL_PITX1_1/taiple	PHOX2A
ARNTL_PITX1_1/taiple	PHOX2B
ARNTL_PITX1_1/taiple	PITX1
ARNTL_PITX1_1/taiple	PITX2
ARNTL_PITX1_1/taiple	PITX3
ARNTL_PITX1_1/taiple	PRRX1
ARNTL_PITX1_1/taiple	PRRX2
ARNTL_PITX1_1/taiple	RAX
ARNTL_PITX1_1/taiple	SHOX2
ARNTL_PITX1_1/taiple	UNCX
ARNTL_PITX1_1/taiple	VSX1
ARNTL_PITX1_1/taiple	VSX2
ARNTL_PITX1_2/taiple	ALX1
ARNTL_PITX1_2/taiple	ALX3
ARNTL_PITX1_2/taiple	ALX4
ARNTL_PITX1_2/taiple	ARNTL
ARNTL_PITX1_2/taiple	ARNTL2
ARNTL_PITX1_2/taiple	ARX
ARNTL_PITX1_2/taiple	DMBX1
ARNTL_PITX1_2/taiple	ESX1
ARNTL_PITX1_2/taiple	ISX
ARNTL_PITX1_2/taiple	PHOX2A
ARNTL_PITX1_2/taiple	PHOX2B
ARNTL_PITX1_2/taiple	PITX1
ARNTL_PITX1_2/taiple	PITX2
ARNTL_PITX1_2/taiple	PITX3
ARNTL_PITX1_2/taiple	PRRX1
ARNTL_PITX1_2/taiple	PRRX2
ARNTL_PITX1_2/taiple	RAX
ARNTL_PITX1_2/taiple	SHOX2
ARNTL_PITX1_2/taiple	UNCX
ARNTL_PITX1_2/taiple	VSX1
ARNTL_PITX1_2/taiple	VSX2
ATF3_disc2/encode	ATF3
ATF3_disc2/encode	JDP2
ATF3_disc3/encode	ATF3
ATF3_disc3/encode	JDP2
ATF3_disc4/encode	ATF3
ATF3_disc4/encode	JDP2
ATF3_known10/encode	ATF3
ATF3_known10/encode	JDP2
ATF3_known4/encode	ATF3
ATF3_known4/encode	JDP2
ATF3_known5/encode	ATF3
ATF3_known5/encode	JDP2
ATF3_known6/encode	ATF3
ATF3_known6/encode	E4F1
ATF3_known6/encode	JDP2
ATF4_1/encode	ATF4
ATF4_1/encode	ATF5
ATF4_3/encode	ATF4
ATF4_3/encode	ATF5
ATF4_3/encode	CEBPG
Arid3a/MA0151.1/Jaspar	ARID3A
Arid3a/MA0151.1/Jaspar	ARID3B
Arid3b/MA0601.1/Jaspar	ARID3A
Arid3b/MA0601.1/Jaspar	ARID3B
Arid3b/MA0601.1/Jaspar	NKX6-1
Arid3b/MA0601.1/Jaspar	NKX6-2
Arid3b/MA0601.1/Jaspar	NKX6-3
Arid5a/MA0602.1/Jaspar	ARID5A
Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)/Homer	AHR
Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)/Homer	ARNT
Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)/Homer	ARNT2
Arx/MA0874.1/Jaspar	ALX1
Arx/MA0874.1/Jaspar	ALX3
Arx/MA0874.1/Jaspar	ALX4
Arx/MA0874.1/Jaspar	ARX
Arx/MA0874.1/Jaspar	DMBX1
Arx/MA0874.1/Jaspar	EMX1
Arx/MA0874.1/Jaspar	EMX2
Arx/MA0874.1/Jaspar	EN1
Arx/MA0874.1/Jaspar	EN2
Arx/MA0874.1/Jaspar	ESX1
Arx/MA0874.1/Jaspar	ISX
Arx/MA0874.1/Jaspar	LBX1
Arx/MA0874.1/Jaspar	LBX2
Arx/MA0874.1/Jaspar	LHX6
Arx/MA0874.1/Jaspar	LHX8
Arx/MA0874.1/Jaspar	NKX1-2
Arx/MA0874.1/Jaspar	PHOX2A
Arx/MA0874.1/Jaspar	PHOX2B
Arx/MA0874.1/Jaspar	PITX1
Arx/MA0874.1/Jaspar	PITX2
Arx/MA0874.1/Jaspar	PITX3
Arx/MA0874.1/Jaspar	PRRX1
Arx/MA0874.1/Jaspar	PRRX2
Arx/MA0874.1/Jaspar	RAX
Arx/MA0874.1/Jaspar	SHOX2
Arx/MA0874.1/Jaspar	UNCX
Arx/MA0874.1/Jaspar	VAX1
Arx/MA0874.1/Jaspar	VAX2
Arx/MA0874.1/Jaspar	VSX1
Arx/MA0874.1/Jaspar	VSX2
Atf3/MA0605.1/Jaspar	ATF3
Atf3/MA0605.1/Jaspar	JDP2
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	ATF4
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	ATF5
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	CEBPA
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	CEBPB
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	CEBPD
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	CEBPE
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	DBP
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	DDIT3
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	HLF
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	MYC
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	MYCN
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	TEF
Atoh1/MA0461.2/Jaspar	ATOH1
Atoh1/MA0461.2/Jaspar	BHLHA15
Atoh1/MA0461.2/Jaspar	BHLHE22
Atoh1/MA0461.2/Jaspar	BHLHE23
Atoh1/MA0461.2/Jaspar	NEUROD1
Atoh1/MA0461.2/Jaspar	NEUROD2
Atoh1/MA0461.2/Jaspar	NEUROG2
Atoh1/MA0461.2/Jaspar	OLIG1
Atoh1/MA0461.2/Jaspar	OLIG2
Atoh1/MA0461.2/Jaspar	OLIG3
Atoh1/MA0461.2/Jaspar	TCF15
Atoh1/MA0461.2/Jaspar	TWIST1
Atoh1/MA0461.2/Jaspar	TWIST2
BACH1_1/encode	BACH1
BACH1_1/encode	BACH2
BARHL2/MA0635.1/Jaspar	BARHL1
BARHL2/MA0635.1/Jaspar	BARHL2
BARHL2_4/encode	BARHL1
BARHL2_4/encode	BARHL2
BARX1_2/encode	BARX1
BARX1_2/encode	BARX2
BARX1_2/encode	BSX
BARX1_2/encode	MSX1
BARX1_2/encode	MSX2
BATF3/MA0835.1/Jaspar	BATF
BATF3/MA0835.1/Jaspar	BATF3
BATF_disc3/encode	BATF
BATF_disc3/encode	BATF3
BCL6B/MA0731.1/Jaspar	BCL6B
BCL_disc10/encode	BCL2
BCL_disc6/encode	BCL2
BCL_disc7/encode	BCL2
BCL_disc7/encode	SIN3A
BCL_disc8/encode	BCL2
BCL_disc9/encode	BCL2
BDP1_disc1/encode	BDP1
BDP1_disc2/encode	BDP1
BDP1_disc3/encode	BDP1
BHLHE40_disc2/encode	BHLHE40
BHLHE40_disc2/encode	BHLHE41
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	CTCF
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	CTCFL
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	RAD21
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	RXRA
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	RXRB
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	RXRG
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	SMC3
BPTF_1/encode	BPTF
BRCA1_known1/encode	BRCA1
Bcl6/MA0463.1/Jaspar	BCL6
Bcl6/MA0463.1/Jaspar	BCL6B
Brachyury(T-box)/Mesoendoderm-Brachyury-ChIP-exo(GSE54963)/Homer	T
Brachyury(T-box)/Mesoendoderm-Brachyury-ChIP-exo(GSE54963)/Homer	TBX19
CArG(MADS)/PUER-Srf-ChIP-Seq(Sullivan_et_al.)/Homer	SRF
CBX5_1/encode	CBX5
CCDC6_1/encode	CCDC6
CCNT2_disc2/encode	CCNT2
CDC5L_1/encode	CDC5L
CDX2_1/encode	CDX1
CDX2_1/encode	CDX2
CDX4(Homeobox)/ZebrafishEmbryos-Cdx4.Myc-ChIP-Seq(GSE48254)/Homer	CDX4
CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	CEBPA
CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	CEBPB
CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	CEBPD
CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	CEBPE
CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	CEBPG
CEBP:AP1(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	JUN
CEBP:AP1(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	JUNB
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	CEBPA
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	CEBPB
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	CEBPD
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	CEBPE
CEBPA/MA0102.3/Jaspar	CEBPA
CEBPA/MA0102.3/Jaspar	CEBPB
CEBPA/MA0102.3/Jaspar	CEBPD
CEBPA/MA0102.3/Jaspar	CEBPE
CEBPA/MA0102.3/Jaspar	EP300
CEBPB_disc2/encode	CEBPA
CEBPB_disc2/encode	CEBPB
CEBPB_disc2/encode	CEBPD
CEBPB_disc2/encode	CEBPE
CEBPB_known3/encode	CEBPA
CEBPB_known3/encode	CEBPB
CEBPB_known3/encode	CEBPD
CEBPB_known3/encode	CEBPE
CEBPB_known5/encode	CEBPA
