AFP_1/encode	Afp
AHR_1/encode	Ahr
AIRE_1/encode	Aire
AIRE_2/encode	Aire
ALX1_1/encode	Alx1
ALX1_1/encode	Alx3
ALX1_1/encode	Alx4
ALX1_1/encode	Arx
ALX1_1/encode	Dmbx1
ALX1_1/encode	Esx1
ALX1_1/encode	Isx
ALX1_1/encode	Phox2a
ALX1_1/encode	Phox2b
ALX1_1/encode	Pitx1
ALX1_1/encode	Pitx2
ALX1_1/encode	Pitx3
ALX1_1/encode	Prrx1
ALX1_1/encode	Prrx2
ALX1_1/encode	Rax
ALX1_1/encode	Shox2
ALX1_1/encode	Uncx
ALX1_1/encode	Vsx1
ALX1_1/encode	Vsx2
ALX4_1/encode	Alx1
ALX4_1/encode	Alx3
ALX4_1/encode	Alx4
ALX4_1/encode	Arx
ALX4_1/encode	Dmbx1
ALX4_1/encode	Esx1
ALX4_1/encode	Isx
ALX4_1/encode	Phox2a
ALX4_1/encode	Phox2b
ALX4_1/encode	Pitx1
ALX4_1/encode	Pitx2
ALX4_1/encode	Pitx3
ALX4_1/encode	Prrx1
ALX4_1/encode	Prrx2
ALX4_1/encode	Rax
ALX4_1/encode	Shox2
ALX4_1/encode	Uncx
ALX4_1/encode	Vsx1
ALX4_1/encode	Vsx2
ALX4_EOMES_1/taiple	Alx1
ALX4_EOMES_1/taiple	Alx3
ALX4_EOMES_1/taiple	Alx4
ALX4_EOMES_1/taiple	Arx
ALX4_EOMES_1/taiple	Dmbx1
ALX4_EOMES_1/taiple	Eomes
ALX4_EOMES_1/taiple	Esx1
ALX4_EOMES_1/taiple	Isx
ALX4_EOMES_1/taiple	Phox2a
ALX4_EOMES_1/taiple	Phox2b
ALX4_EOMES_1/taiple	Pitx1
ALX4_EOMES_1/taiple	Pitx2
ALX4_EOMES_1/taiple	Pitx3
ALX4_EOMES_1/taiple	Prrx1
ALX4_EOMES_1/taiple	Prrx2
ALX4_EOMES_1/taiple	Rax
ALX4_EOMES_1/taiple	Shox2
ALX4_EOMES_1/taiple	Tbr1
ALX4_EOMES_1/taiple	Tbx21
ALX4_EOMES_1/taiple	Uncx
ALX4_EOMES_1/taiple	Vsx1
ALX4_EOMES_1/taiple	Vsx2
ALX4_TBX21_1/taiple	Alx1
ALX4_TBX21_1/taiple	Alx3
ALX4_TBX21_1/taiple	Alx4
ALX4_TBX21_1/taiple	Arx
ALX4_TBX21_1/taiple	Dmbx1
ALX4_TBX21_1/taiple	Eomes
ALX4_TBX21_1/taiple	Esx1
ALX4_TBX21_1/taiple	Isx
ALX4_TBX21_1/taiple	Phox2a
ALX4_TBX21_1/taiple	Phox2b
ALX4_TBX21_1/taiple	Pitx1
ALX4_TBX21_1/taiple	Pitx2
ALX4_TBX21_1/taiple	Pitx3
ALX4_TBX21_1/taiple	Prrx1
ALX4_TBX21_1/taiple	Prrx2
ALX4_TBX21_1/taiple	Rax
ALX4_TBX21_1/taiple	Shox2
ALX4_TBX21_1/taiple	Tbr1
ALX4_TBX21_1/taiple	Tbx21
ALX4_TBX21_1/taiple	Uncx
ALX4_TBX21_1/taiple	Vsx1
ALX4_TBX21_1/taiple	Vsx2
AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer	Tfap2a
AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer	Tfap2b
AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer	Tfap2c
AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer	Tfap2e
AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)/Homer	Ar
AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)/Homer	Nr3c1
AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)/Homer	Nr3c2
AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)/Homer	Pgr
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	Ar
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	Nr3c1
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	Nr3c2
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	Pgr
ARID5B_1/encode	Arid5b
ARNTL_BHLHA15_1/taiple	Arntl
ARNTL_BHLHA15_1/taiple	Arntl2
ARNTL_BHLHA15_1/taiple	Atoh1
ARNTL_BHLHA15_1/taiple	Bhlha15
ARNTL_PITX1_1/taiple	Alx1
ARNTL_PITX1_1/taiple	Alx3
ARNTL_PITX1_1/taiple	Alx4
ARNTL_PITX1_1/taiple	Arntl
ARNTL_PITX1_1/taiple	Arntl2
ARNTL_PITX1_1/taiple	Arx
ARNTL_PITX1_1/taiple	Dmbx1
ARNTL_PITX1_1/taiple	Esx1
ARNTL_PITX1_1/taiple	Isx
ARNTL_PITX1_1/taiple	Phox2a
ARNTL_PITX1_1/taiple	Phox2b
ARNTL_PITX1_1/taiple	Pitx1
ARNTL_PITX1_1/taiple	Pitx2
ARNTL_PITX1_1/taiple	Pitx3
ARNTL_PITX1_1/taiple	Prrx1
ARNTL_PITX1_1/taiple	Prrx2
ARNTL_PITX1_1/taiple	Rax
ARNTL_PITX1_1/taiple	Shox2
ARNTL_PITX1_1/taiple	Uncx
ARNTL_PITX1_1/taiple	Vsx1
ARNTL_PITX1_1/taiple	Vsx2
ARNTL_PITX1_2/taiple	Alx1
ARNTL_PITX1_2/taiple	Alx3
ARNTL_PITX1_2/taiple	Alx4
ARNTL_PITX1_2/taiple	Arntl
ARNTL_PITX1_2/taiple	Arntl2
ARNTL_PITX1_2/taiple	Arx
ARNTL_PITX1_2/taiple	Dmbx1
ARNTL_PITX1_2/taiple	Esx1
ARNTL_PITX1_2/taiple	Isx
ARNTL_PITX1_2/taiple	Phox2a
ARNTL_PITX1_2/taiple	Phox2b
ARNTL_PITX1_2/taiple	Pitx1
ARNTL_PITX1_2/taiple	Pitx2
ARNTL_PITX1_2/taiple	Pitx3
ARNTL_PITX1_2/taiple	Prrx1
ARNTL_PITX1_2/taiple	Prrx2
ARNTL_PITX1_2/taiple	Rax
ARNTL_PITX1_2/taiple	Shox2
ARNTL_PITX1_2/taiple	Uncx
ARNTL_PITX1_2/taiple	Vsx1
ARNTL_PITX1_2/taiple	Vsx2
ATF3_disc2/encode	Atf3
ATF3_disc2/encode	Jdp2
ATF3_disc3/encode	Atf3
ATF3_disc3/encode	Jdp2
ATF3_disc4/encode	Atf3
ATF3_disc4/encode	Jdp2
ATF3_known10/encode	Atf3
ATF3_known10/encode	Jdp2
ATF3_known4/encode	Atf3
ATF3_known4/encode	Jdp2
ATF3_known5/encode	Atf3
ATF3_known5/encode	Jdp2
ATF3_known6/encode	Atf3
ATF3_known6/encode	E4f1
ATF3_known6/encode	Jdp2
ATF4_1/encode	Atf4
ATF4_1/encode	Atf5
ATF4_3/encode	Atf4
ATF4_3/encode	Atf5
ATF4_3/encode	Cebpg
Arid3a/MA0151.1/Jaspar	Arid3a
Arid3a/MA0151.1/Jaspar	Arid3b
Arid3b/MA0601.1/Jaspar	Arid3a
Arid3b/MA0601.1/Jaspar	Arid3b
Arid3b/MA0601.1/Jaspar	Nkx6-1
Arid3b/MA0601.1/Jaspar	Nkx6-2
Arid3b/MA0601.1/Jaspar	Nkx6-3
Arid5a/MA0602.1/Jaspar	Arid5a
Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)/Homer	Ahr
Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)/Homer	Arnt
Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)/Homer	Arnt2
Arx/MA0874.1/Jaspar	Alx1
Arx/MA0874.1/Jaspar	Alx3
Arx/MA0874.1/Jaspar	Alx4
Arx/MA0874.1/Jaspar	Arx
Arx/MA0874.1/Jaspar	Dmbx1
Arx/MA0874.1/Jaspar	Emx1
Arx/MA0874.1/Jaspar	Emx2
Arx/MA0874.1/Jaspar	En1
Arx/MA0874.1/Jaspar	En2
Arx/MA0874.1/Jaspar	Esx1
Arx/MA0874.1/Jaspar	Isx
Arx/MA0874.1/Jaspar	Lbx1
Arx/MA0874.1/Jaspar	Lbx2
Arx/MA0874.1/Jaspar	Lhx6
Arx/MA0874.1/Jaspar	Lhx8
Arx/MA0874.1/Jaspar	Nkx1-2
Arx/MA0874.1/Jaspar	Phox2a
Arx/MA0874.1/Jaspar	Phox2b
Arx/MA0874.1/Jaspar	Pitx1
Arx/MA0874.1/Jaspar	Pitx2
Arx/MA0874.1/Jaspar	Pitx3
Arx/MA0874.1/Jaspar	Prrx1
Arx/MA0874.1/Jaspar	Prrx2
Arx/MA0874.1/Jaspar	Rax
Arx/MA0874.1/Jaspar	Shox2
Arx/MA0874.1/Jaspar	Uncx
Arx/MA0874.1/Jaspar	Vax1
Arx/MA0874.1/Jaspar	Vax2
Arx/MA0874.1/Jaspar	Vsx1
Arx/MA0874.1/Jaspar	Vsx2
Atf3/MA0605.1/Jaspar	Atf3
Atf3/MA0605.1/Jaspar	Jdp2
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	Atf4
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	Atf5
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	Cebpa
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	Cebpb
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	Cebpd
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	Cebpe
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	Dbp
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	Ddit3
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	Hlf
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	Myc
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	Mycn
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	Tef
Atoh1/MA0461.2/Jaspar	Atoh1
Atoh1/MA0461.2/Jaspar	Bhlha15
Atoh1/MA0461.2/Jaspar	Bhlhe22
Atoh1/MA0461.2/Jaspar	Bhlhe23
Atoh1/MA0461.2/Jaspar	Neurod1
Atoh1/MA0461.2/Jaspar	Neurod2
Atoh1/MA0461.2/Jaspar	Neurog2
Atoh1/MA0461.2/Jaspar	Olig1
Atoh1/MA0461.2/Jaspar	Olig2
Atoh1/MA0461.2/Jaspar	Olig3
Atoh1/MA0461.2/Jaspar	Tcf15
Atoh1/MA0461.2/Jaspar	Twist1
Atoh1/MA0461.2/Jaspar	Twist2
BACH1_1/encode	Bach1
BACH1_1/encode	Bach2
BARHL2/MA0635.1/Jaspar	Barhl1
BARHL2/MA0635.1/Jaspar	Barhl2
BARHL2_4/encode	Barhl1
BARHL2_4/encode	Barhl2
BARX1_2/encode	Barx1
BARX1_2/encode	Barx2
BARX1_2/encode	Bsx
BARX1_2/encode	Msx1
BARX1_2/encode	Msx2
BATF3/MA0835.1/Jaspar	Batf
BATF3/MA0835.1/Jaspar	Batf3
BATF_disc3/encode	Batf
BATF_disc3/encode	Batf3
BCL6B/MA0731.1/Jaspar	Bcl6b
BCL_disc10/encode	Bcl2
BCL_disc6/encode	Bcl2
BCL_disc7/encode	Bcl2
BCL_disc7/encode	Sin3a
BCL_disc8/encode	Bcl2
BCL_disc9/encode	Bcl2
BDP1_disc1/encode	Bdp1
BDP1_disc2/encode	Bdp1
BDP1_disc3/encode	Bdp1
BHLHE40_disc2/encode	Bhlhe40
BHLHE40_disc2/encode	Bhlhe41
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	Ctcf
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	Ctcfl
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	Rad21
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	Rxra
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	Rxrb
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	Rxrg
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	Smc3
BPTF_1/encode	Bptf
BRCA1_known1/encode	Brca1
Bcl6/MA0463.1/Jaspar	Bcl6
Bcl6/MA0463.1/Jaspar	Bcl6b
Brachyury(T-box)/Mesoendoderm-Brachyury-ChIP-exo(GSE54963)/Homer	T
Brachyury(T-box)/Mesoendoderm-Brachyury-ChIP-exo(GSE54963)/Homer	Tbx19
CArG(MADS)/PUER-Srf-ChIP-Seq(Sullivan_et_al.)/Homer	Srf
CBX5_1/encode	Cbx5
CCDC6_1/encode	Ccdc6
CCNT2_disc2/encode	Ccnt2
CDC5L_1/encode	Cdc5l
CDX2_1/encode	Cdx1
CDX2_1/encode	Cdx2
CDX4(Homeobox)/ZebrafishEmbryos-Cdx4.Myc-ChIP-Seq(GSE48254)/Homer	Cdx4
CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	Cebpa
CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	Cebpb
CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	Cebpd
CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	Cebpe
CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	Cebpg
CEBP:AP1(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	Jun
CEBP:AP1(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	Junb
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	Cebpa
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	Cebpb
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	Cebpd
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	Cebpe
CEBPA/MA0102.3/Jaspar	Cebpa
CEBPA/MA0102.3/Jaspar	Cebpb
CEBPA/MA0102.3/Jaspar	Cebpd
CEBPA/MA0102.3/Jaspar	Cebpe
CEBPA/MA0102.3/Jaspar	Ep300
CEBPB_disc2/encode	Cebpa
CEBPB_disc2/encode	Cebpb
CEBPB_disc2/encode	Cebpd
CEBPB_disc2/encode	Cebpe
CEBPB_known3/encode	Cebpa
CEBPB_known3/encode	Cebpb
